id,char,unicode,n_points,n_strokes,stroke
638,启,542F,88,15,"88,-64,0,-1,-13,-4,-6,-64,0,-1,-14,5,-7,-64,0,-3,-9,0,-4,-64,0,3,-10,0,-4,-64,0,0,-4,0,3,-64,0,-6,-2,-8,5,-64,0,-6,-2,-2,3,-64,0,-8,3,-5,6,-5,12,-64,0,-3,2,-5,6,-64,0,4,-1,3,3,0,5,-64,0,4,-1,6,2,8,4,-64,0,2,3,5,6,5,11,-64,0,6,2,5,6,-64,-64,,,,,,"
639,杞,675E,46,7,"46,-64,0,0,-17,4,-9,3,-2,4,11,-64,0,-10,2,-9,8,-6,9,-4,7,-4,4,-2,1,-3,-2,-64,0,-9,4,-4,4,-64,0,2,-13,-2,-3,-64,0,-6,0,-6,4,-64,-64,,,,,,"
640,啓,5553,54,10,"54,-64,0,-5,-15,-5,11,-64,0,0,-13,0,6,-64,0,-5,-11,0,-11,-64,0,-5,4,0,4,-64,0,-5,-4,0,-4,-64,0,-2,8,-2,13,1,15,4,13,-64,0,4,6,4,13,-64,0,-2,10,4,10,-64,-64,,,,,,"
641,晵,6675,44,7,"44,-64,0,5,-15,5,2,-64,0,0,-13,5,-6,10,-12,-64,0,-2,3,5,-6,10,1,-64,0,10,3,-1,4,-1,4,-64,0,0,4,0,7,10,7,10,11,-2,11,-64,-64,,,,,,"
642,契jie,,70,11,"70,-64,0,-5,-4,2,-4,-64,0,-5,5,2,5,-64,0,-5,-10,2,-10,2,-10,2,5,-64,0,3,-11,7,-9,9,-5,9,-5,9,-2,-64,0,7,-13,5,-6,-64,0,-1,7,-1,12,6,12,6,12,-64,0,5,7,6,12,-64,0,0,9,5,9,-64,0,-5,-12,-5,10,-64,-64,,,,,,"
643,氣,6C23,66,11,"66,-64,0,-2,-11,5,-14,8,-11,2,-8,2,-8,-64,0,-6,-8,-5,15,-64,0,-6,3,1,1,-64,0,-5,11,1,8,-64,0,3,-4,8,4,8,12,-64,0,-6,-4,0,-5,-64,0,0,-7,1,9,-64,0,-2,-11,2,-8,-64,0,5,-7,8,-1,3,5,-64,-64,,,,,,"
644,棄,68C4,20,5,"20,-64,0,-11,-10,10,-10,-64,0,-8,-3,6,-3,-64,0,-12,6,11,6,-64,-64,,,,,,"
645,千,5343,116,20,"116,-64,0,-2,-13,2,-13,-64,0,-3,-10,2,-10,-64,0,-2,-13,-3,-10,-64,0,2,-13,2,-10,-64,0,1,-15,2,-14,-64,0,5,-13,4,-10,-64,0,-6,-11,-5,-9,-64,0,-3,-7,3,-7,-64,0,0,-10,0,-4,-64,0,-5,-2,-6,8,5,9,5,-3,-64,0,-7,-3,-3,-3,-64,0,3,-3,6,-3,-64,0,4,0,-6,7,-64,0,-5,0,4,7,-64,0,-6,8,-10,14,-64,0,-9,7,-6,13,-64,0,7,5,7,9,5,12,-64,0,5,7,8,12,-64,-64,,,,,,"
646,臤,81E4,26,5,"26,-64,0,0,-16,0,-9,-4,-4,-64,0,0,-10,5,-2,1,4,-1,15,-64,0,-7,7,9,3,-64,-64,,,,,,"
647,铅qian,,74,9,"74,-64,0,2,-14,-3,-10,-8,-4,-9,1,-7,8,-2,13,3,15,-64,0,-8,-4,-5,-5,-1,-4,1,0,-1,4,-4,5,-8,4,-64,0,-4,-2,-5,-1,-5,1,-4,1,-3,0,-3,-1,-4,-2,-64,0,2,-14,-1,-4,-64,0,-1,4,3,15,-64,0,6,-5,2,7,-64,0,2,-1,11,13,-64,-64,,,,,,"
648,掔,6394,80,12,"80,-64,0,-4,-9,-4,-1,-64,0,-4,-9,9,-9,-64,0,1,-9,-1,-4,1,-2,-64,0,1,-9,4,-5,1,-2,-64,0,-4,-4,-1,-4,-64,0,8,-9,4,-5,-64,0,1,-5,1,0,2,1,7,4,-64,0,-2,-17,1,-14,2,-12,1,-9,-64,0,2,-18,0,-14,-3,-11,-64,0,5,-2,1,1,-1,4,-1,12,-64,-64,,,,,,"
649,前,524D,92,15,"92,-64,0,0,-13,-2,-8,-2,-4,-64,0,-3,-15,-4,-11,-1,-8,-64,0,3,-12,-2,-4,-64,0,-5,-2,-4,6,-6,14,-64,0,2,-2,0,6,1,16,-64,0,-4,6,0,6,-64,0,-5,8,0,8,-64,0,-8,-10,-8,-4,-12,3,-64,0,-8,4,-12,11,-64,0,-8,4,-9,14,-64,0,5,-11,4,-3,7,0,-64,0,4,6,4,16,-64,0,4,6,10,9,-64,-64,,,,,,"
650,钳yu,,80,12,"80,-64,0,0,-9,3,2,-2,9,-64,0,0,-9,-3,-3,3,2,-64,0,3,2,-2,4,-2,9,-64,0,0,-14,6,-2,-64,0,5,-17,6,-10,2,-6,-64,0,-4,-9,-6,-4,-6,0,-64,0,-7,-16,-8,-6,-4,-4,-64,0,-5,11,4,11,-64,0,-6,8,-4,15,0,16,3,14,3,14,-64,0,4,7,3,14,-64,-64,,,,,,"
651,遣,9063,36,5,"36,-64,0,6,-15,-4,-11,-2,-6,7,-9,-64,0,1,-13,-1,6,5,10,6,14,-2,10,-1,14,3,18,-64,0,0,-5,4,1,4,8,-64,-64,,,,,,"
652,欠,6B20,58,9,"58,-64,0,-2,-6,8,-9,10,-13,-2,-13,-2,-7,-64,0,1,-13,2,-8,2,-8,-64,0,3,-13,5,-9,-64,0,-6,-17,-8,-5,-64,0,-6,-12,-3,-6,-5,-1,-5,8,-64,0,3,-8,0,-2,-64,0,2,-6,5,-3,3,9,-64,-64,,,,,,"
653,俔,4FD4,62,9,"62,-64,0,-6,-7,4,-11,-64,0,-7,-9,-6,-14,-1,-9,1,-14,5,-13,-64,0,-1,-9,-5,1,-64,0,-1,-7,1,-2,-1,11,-64,0,4,-11,2,-6,5,-3,-64,0,4,-11,7,-5,3,0,5,3,-64,0,5,-3,8,0,5,3,6,8,-64,-64,,,,,,"
654,羌,7F8C,52,10,"52,-64,0,-9,-9,-9,-3,-64,0,-9,-7,-2,-7,-64,0,-2,-10,-2,9,-64,0,-5,-4,5,-4,-64,0,6,-9,2,-9,6,11,-64,0,9,11,3,12,-64,0,-9,4,-9,9,-64,0,-9,6,-2,6,-64,-64,,,,,,"
655,戕,6215,60,10,"60,-64,0,-4,-13,0,-9,6,-15,6,-15,-64,0,0,-14,0,-6,-5,-3,-64,0,-6,-6,-5,-4,-6,10,-64,0,0,-6,4,-2,-64,0,-4,-2,4,-2,-64,0,6,-8,4,-2,6,10,-64,0,-1,-2,0,7,-64,0,-5,6,5,6,-64,-64,,,,,,"
656,鞘qiao,,94,15,"94,-64,0,-5,-15,-5,-5,-64,0,-9,-14,-5,-8,-2,-13,-64,0,-5,-6,-9,-3,-64,0,-5,-5,-2,-3,-64,0,-11,-3,-1,-3,-64,0,-9,-3,-9,6,-12,11,-64,0,-2,-3,-2,13,-64,0,-9,5,-2,5,-64,0,-10,7,-2,7,-64,0,3,-4,2,-1,3,2,5,-1,3,-4,-64,0,3,2,3,15,-64,0,3,7,8,13,10,20,-64,0,8,3,7,13,4,17,-64,-64,,,,,,"
657,切qie,,68,11,"68,-64,0,-5,-10,-5,7,-64,0,-9,-12,-5,-10,-1,-15,-64,0,-9,-12,-9,-5,-64,0,-12,-6,-9,-9,-9,-9,-7,-6,-64,0,-1,-15,-1,-8,-64,0,-3,-8,-1,-12,2,-9,-64,0,-10,4,-5,-2,-1,4,-64,0,6,-15,5,-3,0,2,-64,0,5,-8,-1,-3,-64,-64,,,,,,"
658,且,4E14,38,7,"38,-64,0,-1,-11,-5,-5,-5,9,-5,9,-64,0,-1,-11,5,-5,4,10,-64,0,-5,10,5,11,-64,0,-5,1,5,1,-64,0,-5,4,4,4,-64,-64,,,,,,"
659,妾,59BE,52,7,"52,-64,0,-6,-15,6,-15,-64,0,-4,-15,0,-8,3,-15,-64,0,0,-8,0,5,-6,9,-6,13,1,9,-2,17,-64,0,-6,4,-5,0,-6,-6,4,-9,4,-9,-64,0,4,-9,4,-3,-5,0,-8,2,-64,-64,,,,,,"
660,侵,4FB5,86,14,"86,-64,0,-1,-17,3,-13,4,7,-64,0,-2,-13,3,-10,-64,0,-3,-8,3,-5,-64,0,-11,-13,-10,-3,-6,-3,-3,-5,-4,-14,-64,0,-7,-7,-7,9,-64,0,-10,-2,-7,2,0,-3,-64,0,-3,3,3,-4,-64,0,4,-1,9,6,-64,0,6,-4,7,0,5,4,-64,0,-6,-16,-6,-12,-64,0,-8,-11,-8,-8,-64,0,-3,-3,-3,-1,-64,-64,,,,,,"
661,钦qing（卯）,,120,18,"120,-64,0,0,-12,0,-7,-2,-5,0,-3,2,-6,0,-7,-64,0,0,-3,-2,-2,0,1,2,-2,0,-4,-64,0,-3,-14,-3,-10,-1,-8,-64,0,2,-14,4,-11,1,-9,-64,0,-1,-13,-6,-5,-64,0,2,-13,5,-7,-64,0,-4,0,-5,7,-64,0,-4,0,-1,3,-2,13,-64,0,0,2,-1,4,-64,0,-4,7,1,12,-64,0,-2,9,-5,12,-64,0,1,4,2,0,-64,0,2,0,4,4,4,15,-64,0,6,0,4,4,-64,0,2,6,8,12,-64,0,4,8,2,11,-64,-64,,,,,,"
662,秦,79E6,50,9,"50,-64,0,-4,-11,-2,3,0,6,4,0,3,-10,-64,0,3,-9,-3,-3,-64,0,3,-6,-2,1,-64,0,-4,-11,3,-2,-64,0,-3,-4,2,1,-64,0,-6,8,8,7,-64,0,0,6,0,17,-64,-64,,,,,,"
663,禽,79BD,68,12,"68,-64,0,0,-13,-6,-10,-7,0,-64,0,0,-13,7,-9,7,-1,-64,0,-1,-9,2,-7,1,14,-64,0,-4,-6,2,-4,-64,0,-2,-2,2,1,-64,0,-3,2,-3,8,-64,0,-4,4,4,4,-64,0,4,1,4,8,-64,0,1,8,-3,11,-64,0,1,8,4,10,-64,-64,,,,,,"
664,寝,5BDD,60,9,"60,-64,0,-2,-6,-5,-8,-5,-4,-4,4,-1,12,3,6,5,-3,5,-5,3,-7,2,-5,-64,0,-4,-12,-3,-12,-64,0,2,-12,2,-10,-64,0,-2,0,-3,5,-64,0,1,0,3,5,-64,0,-9,-5,-9,-1,-64,0,-7,3,-6,8,-64,-64,,,,,,"
665,沁,6C81,62,10,"62,-64,0,2,-14,1,-7,-64,0,-2,-13,1,-10,5,-14,-64,0,-3,-5,-3,7,7,7,6,-4,-3,-4,-3,-4,-64,0,1,0,1,0,1,0,-64,0,1,0,1,1,-64,0,1,0,1,0,-64,0,2,0,2,0,-64,0,2,0,2,1,-64,-64,,,,,,"
666,青,9752,102,13,"102,-64,0,3,-10,0,-5,4,-2,6,-7,3,-10,-64,0,0,-5,6,-6,-64,0,-5,-15,2,-14,2,-12,-6,-12,-64,0,-1,-14,-7,-2,-3,0,-2,5,-7,2,-5,10,-64,0,-4,-9,-2,-5,-3,-1,-64,0,2,-3,1,2,-64,0,4,-2,5,2,-64,0,-2,2,8,3,-64,0,11,-15,5,-14,5,-11,12,-11,-64,0,8,-15,12,-1,8,2,7,6,12,2,9,13,-64,0,9,-9,8,-4,9,1,-64,-64,,,,,,"
667,卿,537F,78,12,"78,-64,0,-4,-4,-1,-8,5,-11,-64,0,-4,-4,0,-4,5,-10,-64,0,-3,-11,-1,-5,-64,0,0,-12,2,-7,-64,0,2,-7,3,-3,-5,2,-64,0,3,-3,5,1,3,7,-64,0,0,6,0,8,-2,5,1,1,3,5,-64,0,5,2,9,10,5,15,-64,0,0,11,2,13,-64,0,1,11,8,9,-64,-64,,,,,,"
668,慶,6176,74,12,"74,-64,0,-4,-10,5,-12,-64,0,-4,-10,-4,6,-64,0,-3,-15,-1,-11,-64,0,-1,-16,-1,-12,-1,-12,-64,0,2,-16,-1,-12,-64,0,2,-11,-4,-3,-64,0,5,-8,3,-4,4,1,0,7,-64,0,5,-8,6,-5,4,0,-64,0,3,3,6,7,6,12,6,13,-64,0,6,4,2,8,-64,-64,,,,,,"
669,磬,78EC,34,7,"34,-64,0,-7,-10,-5,4,-64,0,7,-9,8,4,-64,0,6,-6,2,-3,1,3,-64,0,-7,-8,1,3,-64,0,-9,4,8,4,-64,-64,,,,,,"
670,丘,4E18,142,20,"142,-64,0,-4,-15,-4,-17,-1,-17,1,-14,-64,0,2,-14,5,-18,6,-17,-64,0,-5,-11,1,-14,7,-13,7,-11,-64,0,-5,-11,3,-9,7,-10,-64,0,0,-14,1,-10,-64,0,4,-14,4,-11,-64,0,-6,-6,-5,-6,6,-6,5,0,5,1,-2,6,-3,5,-64,0,-6,-1,-6,4,-64,0,-6,2,-1,1,-64,0,1,-11,0,5,-64,0,0,-1,9,-4,9,3,-64,0,3,-9,2,3,-64,0,-6,8,-2,15,5,15,9,13,8,6,-64,0,2,8,1,11,-1,14,-64,0,2,11,4,14,-64,0,-3,8,-2,10,-64,0,6,9,5,11,-64,0,3,6,3,7,-64,-64,,,,,,"
671,秋,79CB,40,8,"40,-64,0,-7,-12,-6,14,-64,0,6,-12,7,13,-64,0,-10,-8,9,-9,-64,0,-1,-9,-4,2,-64,0,-2,-5,2,-1,0,10,-64,0,-9,9,9,9,-64,-64,,,,,,"
672,囚,56DA,58,10,"58,-64,0,-3,-11,3,-11,-64,0,-3,-6,3,-6,-64,0,-3,-11,-3,-6,-64,0,3,-11,3,-6,-64,0,-4,-2,4,-2,-64,0,0,-4,0,5,-64,0,-8,-13,-6,-7,-7,-3,-6,4,-64,0,8,-14,6,-5,7,0,5,5,-64,-64,,,,,,"
673,汓,6C53,82,14,"82,-64,0,1,-15,1,-12,-4,-6,-64,0,1,-12,9,-8,-64,0,-1,-5,-2,5,-3,12,-64,0,6,-5,6,5,3,9,-2,8,-64,0,-1,-3,-6,2,-64,0,-3,3,-6,7,-64,0,-2,8,-7,12,-64,0,2,9,3,12,-64,0,5,6,8,11,-64,0,6,4,11,6,-64,0,6,-2,11,2,-64,0,6,-4,12,-2,-64,-64,,,,,,"
674,裘,88D8,48,8,"48,-64,0,-1,-10,-1,5,-64,0,-2,-11,-9,-10,-9,13,7,13,7,5,-1,5,-7,12,-64,0,-9,-2,-2,-2,-64,0,-5,-10,-5,10,-64,0,-2,8,7,9,-64,0,2,5,2,13,-64,-64,,,,,,"
675,曲,66F2,68,10,"68,-64,0,0,-9,0,-4,3,-4,3,-10,3,-10,-64,0,0,-8,3,-8,-64,0,-5,0,-5,5,-1,5,-1,0,-1,-1,-64,0,-1,2,-5,2,-64,0,2,0,2,6,7,6,6,-1,-64,0,2,2,6,2,-64,0,-8,-7,-8,10,-8,10,-64,0,-8,10,7,10,-64,-64,,,,,,"
676,區,5340,90,15,"90,-64,0,-5,-16,-2,-16,0,-14,-64,0,-2,-15,-6,-10,-64,0,-6,-9,-3,-8,-64,0,-3,-9,1,-13,-64,0,-3,-13,-2,-11,-64,0,-1,-10,0,-6,-3,-2,-64,0,0,-6,6,-5,-64,0,0,-5,5,-2,-64,0,8,-6,3,1,-64,0,9,-4,14,1,-64,0,11,-1,7,5,6,12,-64,0,7,7,10,10,10,15,-64,0,10,5,10,8,7,11,-64,-64,,,,,,"
677,驅,9A45,66,10,"66,-64,0,3,-11,-5,-5,-7,2,-7,7,-5,12,2,13,2,13,-64,0,3,-11,6,-5,-64,0,4,-9,0,-1,3,1,-64,0,3,1,0,7,2,9,-64,0,3,7,2,13,-64,0,3,-2,3,4,-64,0,6,-3,7,2,4,6,-64,0,4,0,10,15,-64,-64,,,,,,"
678,取,53D6,82,9,"82,-64,0,-7,-10,-8,3,-1,8,-2,13,-8,7,-9,10,-7,15,-64,0,-10,-4,-10,-7,-5,-4,-5,-2,-64,0,-11,-5,-3,0,-64,0,2,-11,-1,-8,-3,-4,-2,0,-1,2,1,3,-64,0,2,-10,3,-9,1,-6,3,-3,3,-2,1,-1,1,2,-64,0,3,-3,6,0,9,6,-64,0,6,-3,6,0,5,2,4,3,-64,-64,,,,,,"
679,娶,5A36,52,9,"52,-64,0,2,-15,2,-4,-64,0,2,-11,-3,-6,-64,0,2,-11,7,-7,-64,0,2,-4,-2,-1,-4,5,-64,0,2,-4,9,1,9,10,-64,0,0,2,0,9,6,9,5,2,-64,0,0,5,5,5,-64,-64,,,,,,"
680,去,53BB,76,13,"76,-64,0,-5,-13,7,-13,-64,0,-5,-13,-6,-10,-3,-6,-5,0,-5,9,-64,0,7,-13,7,-8,-64,0,-3,-11,3,-11,-64,0,-3,-9,4,-9,-64,0,0,-8,1,11,-64,0,7,-8,4,0,8,11,-64,0,-4,-12,-4,-10,-64,0,3,-7,3,-5,-64,0,-3,0,-2,6,-64,0,3,-1,3,4,-64,-64,,,,,,"
681,泉,6CC9,60,10,"60,-64,0,-4,-14,7,-10,-64,0,0,-16,0,-10,4,-3,5,7,0,13,1,16,5,12,-64,0,-8,-8,2,-7,-64,0,-1,-7,-1,6,-64,0,-1,-1,4,-1,-64,0,-1,2,4,2,-64,0,1,-7,2,6,-64,0,-8,5,5,7,-64,-64,,,,,,"
682,犬,72AC,76,13,"76,-64,0,-7,-5,3,-9,-64,0,3,-9,3,-6,-64,0,3,-6,-5,0,0,9,-64,0,-2,-2,2,6,-64,0,-1,-7,5,2,4,8,-64,0,-1,9,-4,13,-2,16,-64,0,0,9,1,11,0,12,-64,0,-2,12,-1,13,-64,0,-7,-10,-7,-7,-64,0,-3,-13,-3,-9,-64,0,3,-13,4,-10,-64,-64,,,,,,"
683,雀,96C0,70,12,"70,-64,0,0,-11,-4,-4,-7,10,-64,0,-6,4,-10,8,-64,0,-5,4,-2,7,-64,0,-6,-3,-5,-1,-2,-2,-64,0,-6,-8,-2,-5,-64,0,1,-5,3,-5,5,-8,-64,0,2,-2,7,-2,-64,0,0,-10,5,-2,7,9,-64,0,5,3,1,7,-64,0,6,3,9,5,-64,-64,,,,,,"
684,冄,5184,70,11,"70,-64,0,0,-15,-4,-12,-6,-8,-64,0,0,-16,6,-9,-64,0,-4,-12,-7,-9,-64,0,-4,-12,-3,-8,-64,0,3,-12,1,-9,-64,0,3,-12,8,-11,-64,0,0,-4,2,5,-2,8,-2,10,3,8,1,12,-64,0,-4,0,4,-3,4,1,-5,4,-64,0,-4,0,-4,4,-64,-64,,,,,,"
685,姌ran,,18,4,"18,-64,0,-3,-13,4,-2,1,6,0,16,-64,0,-1,-8,-3,3,-64,-64,,,,,,"
686,人,4EBA,32,6,"32,-64,0,-1,-15,-1,-8,-6,-3,-64,0,0,-8,2,-2,-1,2,-2,12,-64,0,3,0,10,0,-64,0,2,2,10,3,-64,-64,,,,,,"
687,仁,4EC1,20,5,"20,-64,0,-9,-12,7,-12,-64,0,-1,-12,-1,10,-64,0,-10,10,10,9,-64,-64,,,,,,"
688,壬,58EC,30,5,"30,-64,0,3,-6,0,-11,-4,-6,2,6,-1,9,0,13,-64,0,2,5,3,10,3,14,-64,0,-5,15,8,12,-64,-64,,,,,,"
689,刃,5203,26,5,"26,-64,0,-5,-13,-5,3,-2,8,6,8,-64,0,-5,-1,1,4,4,3,-64,0,-1,-11,1,-1,-64,-64,,,,,,"
690,任,4EFB,34,7,"34,-64,0,-2,-17,-8,-5,-64,0,-4,-12,-1,-4,-3,9,-64,0,0,-11,8,-11,-64,0,4,-11,4,3,-64,0,-2,4,9,3,-64,-64,,,,,,"
691,妊,598A,56,9,"56,-64,0,2,-11,5,5,0,9,1,13,6,9,5,17,-64,0,-1,-4,6,-11,6,-11,-64,0,6,-11,7,-7,-1,2,-64,0,-1,-4,1,3,-64,0,-8,-10,-2,-10,-64,0,-5,-10,-5,3,-64,0,-7,3,-1,3,-64,-64,,,,,,"
692,扔,6254,36,5,"36,-64,0,-4,-11,4,-11,4,-8,-2,-5,-3,1,-6,7,-64,0,0,-1,2,2,1,6,-3,9,-64,0,-3,1,1,4,4,10,5,16,-64,-64,,,,,,"
693,日,65E5,28,5,"28,-64,0,-4,-5,5,-5,-64,0,-4,-6,-7,-1,-5,5,5,5,6,1,5,-5,-64,0,-2,0,2,0,-64,-64,,,,,,"
694,戎,620E,38,8,"38,-64,0,-8,-3,6,-3,-64,0,0,-9,2,14,-64,0,1,-6,5,-8,-64,0,-1,15,6,13,-64,0,-9,4,-1,4,-64,0,-5,0,-5,12,-64,-64,,,,,,"
695,肜chen,,22,4,"22,-64,0,-7,-11,4,-9,5,-5,3,0,0,2,-8,2,-64,0,-3,-11,-3,2,-64,-64,,,,,,"
696,肉,8089,58,7,"58,-64,0,-1,-12,-1,4,4,5,4,9,-2,6,1,15,-64,0,-4,-7,-2,-9,2,-9,3,-6,4,-1,-64,0,-4,-7,-5,-5,-4,-4,0,-3,6,-6,-64,0,-9,5,-9,11,-6,13,-3,12,-4,5,-64,0,-9,7,-4,7,-64,-64,,,,,,"
697,如,5982,66,10,"66,-64,0,-5,-10,-4,-7,-64,0,-5,-1,-5,4,-64,0,-3,-12,-1,-7,-2,-2,-2,11,-64,0,-1,-14,0,-10,-64,0,2,-12,6,2,0,7,1,11,7,6,6,14,-64,0,-1,1,0,3,-64,0,0,-6,7,-10,9,-6,1,0,-64,0,0,-6,3,-1,-64,-64,,,,,,"
698,汝,6C5D,80,8,"80,-64,0,-1,-4,5,-6,-64,0,2,-14,2,-4,5,7,-2,10,-2,14,6,10,5,16,-64,0,0,-1,-3,-3,-2,-6,-5,-4,-6,-2,-4,1,-1,-1,-64,0,-4,1,-5,8,-64,0,-8,3,-1,2,-64,0,-9,3,-8,-3,-6,-7,-1,-9,4,-9,7,-7,8,-3,6,-1,4,1,1,3,-1,6,-5,6,-9,7,-64,-64,,,,,,"
699,乳,4E73,16,4,"16,-64,0,-2,-13,-10,0,-64,0,-2,-13,3,-6,10,-1,-64,-64,,,,,,"
700,入,5165,104,17,"104,-64,0,-3,-16,-3,-9,-64,0,-5,-14,-3,-11,-64,0,0,-14,-3,-11,-64,0,3,-17,3,-10,-64,0,1,-14,3,-12,-64,0,6,-14,3,-12,-64,0,-9,-8,10,-9,-64,0,-8,-3,4,-6,-64,0,-8,-3,-7,7,-11,12,-64,0,-7,2,-2,4,6,0,-64,0,-7,-1,-2,1,6,0,-64,0,-2,-4,-2,4,-64,0,-5,-3,-2,-1,-64,0,3,-2,5,5,-3,12,-64,0,0,6,3,9,4,14,7,17,-64,-64,,,,,,"
701,蓐,84D0,66,9,"66,-64,0,1,-16,-1,-9,1,-5,-4,8,2,10,0,13,-7,10,-4,18,-64,0,-3,-16,-4,-8,0,-2,-64,0,2,-13,4,-5,0,-2,-64,0,-4,-10,-7,-3,-3,3,-64,0,-8,-14,-4,-1,-64,0,5,-11,7,-4,2,1,-64,0,5,-5,6,2,-2,6,-64,-64,,,,,,"
702,若,82E5,54,7,"54,-64,0,0,-13,-5,-6,-8,6,-4,11,0,12,5,11,8,6,7,-3,0,-13,-64,0,-4,-7,3,-7,-64,0,-6,0,7,0,-64,0,-5,6,4,6,-64,0,-10,-15,-9,-8,-11,-1,-12,6,-10,12,-5,18,-64,-64,,,,,,"
703,洒,6D12,28,6,"28,-64,0,-5,-12,-8,4,-64,0,-8,4,0,16,-64,0,0,-14,0,16,-64,0,0,16,6,8,7,-13,-64,-64,,,,,,"
704,卅,5345,86,14,"86,-64,0,-1,-15,-9,-10,-9,2,-64,0,0,-15,9,-7,8,6,-64,0,-5,-9,-3,-9,-64,0,-4,-8,-4,0,-64,0,-6,0,-1,1,-64,0,1,-8,4,-9,-64,0,3,-8,3,1,-64,0,1,1,4,0,-64,0,-4,2,-6,7,-6,15,-64,0,-7,2,-6,5,-2,8,-64,0,2,4,5,9,6,15,-64,0,4,3,4,6,2,8,-64,-64,,,,,,"
705,塞,585E,20,5,"20,-64,0,-11,-11,8,-11,-64,0,-11,-4,8,-4,-64,0,-12,4,8,4,-64,-64,,,,,,"
706,三,4E09,86,14,"86,-64,0,-3,-13,-2,-10,0,-9,-64,0,2,-14,2,-11,2,-11,0,-9,-64,0,0,-14,0,14,-64,0,-5,-6,-5,-1,0,2,-64,0,5,-6,4,-1,0,2,-64,0,-8,-5,-7,-3,-5,-1,-64,0,-3,-6,-3,-4,-64,0,-3,-4,-5,-1,-64,0,3,-6,4,-3,-64,0,6,-5,4,-3,-64,0,0,5,-4,9,-64,0,0,5,4,9,-64,-64,,,,,,"
707,桑,6851,158,25,"158,-64,0,-1,-16,-3,-14,-64,0,-4,-15,-2,-12,-64,0,0,-15,-3,-8,-64,0,-5,-10,3,0,-64,0,3,0,-3,4,-1,16,-64,0,0,-11,1,-9,-64,0,3,-10,-1,-7,-64,0,-2,-3,-3,0,-64,0,-5,-1,-1,2,-64,0,-9,-11,-6,-11,-64,0,-9,-13,-9,-9,-7,-8,-6,-9,-64,0,-6,-13,-6,-9,-64,0,4,-10,7,-10,-64,0,4,-12,4,-8,6,-7,7,-8,-64,0,7,-13,7,-8,-64,0,-2,8,-8,15,-64,0,-2,8,6,11,-64,0,-9,3,-9,7,-7,8,-5,7,-64,0,-5,2,-5,7,-64,0,-9,4,-5,4,-64,0,3,5,7,5,-64,0,3,3,3,8,6,9,7,8,-64,0,7,3,7,8,-64,-64,,,,,,"
708,喪,55AA,94,15,"94,-64,0,-11,2,10,1,-64,0,0,-5,-11,2,-64,0,-1,-5,9,1,-64,0,-10,-7,-8,-16,-5,-12,-5,11,-64,0,-2,-15,-5,-13,-5,-13,-64,0,-8,-8,-5,-3,-5,-3,-64,0,1,-13,3,-2,-64,0,6,-15,2,-9,-64,0,5,-13,7,-8,-64,0,6,-7,3,-3,-64,0,7,1,7,11,-64,0,-2,2,-1,6,-2,8,-5,11,-64,0,7,1,3,8,7,11,-64,-64,,,,,,"
709,嗇,55C7,92,17,"92,-64,0,-2,-13,-2,-6,-64,0,-4,-13,-2,-10,-64,0,1,-14,-2,-10,-64,0,-2,-10,-5,-5,-64,0,-2,-10,1,-6,-64,0,-4,-4,-4,12,-64,0,-6,-3,-4,1,-64,0,-1,-3,-4,1,-64,0,-4,7,-7,10,-64,0,-4,6,-1,10,-64,0,3,-6,4,13,-64,0,0,-5,3,2,-64,0,9,-7,3,-2,-64,0,3,5,0,8,-64,0,3,4,9,9,-64,-64,,,,,,"
710,森,68EE,44,8,"44,-64,0,-5,-13,7,-5,-64,0,2,-13,-1,-5,0,7,-1,11,-1,18,-64,0,-1,-5,-6,0,-64,0,-1,0,8,5,-64,0,-1,7,-6,12,-64,0,0,8,5,12,-64,-64,,,,,,"
711,殺,6BBA,20,3,"20,-64,0,-9,2,12,2,11,-12,5,1,0,-11,-3,1,-7,-7,-8,1,-64,-64,,,,,,"
712,山,5C71,26,6,"26,-64,0,0,-16,12,-5,-64,0,-2,-10,12,1,-64,0,-3,-3,11,6,-64,0,-4,4,11,13,-64,-64,,,,,,"
713,彡,5F61,48,9,"48,-64,0,-10,-5,1,-9,-64,0,-10,-1,1,-5,-64,0,-8,-13,-8,3,-64,0,-5,-10,-5,2,-64,0,-3,-11,-2,1,-64,0,6,-16,4,-12,3,5,-2,8,-64,0,3,-2,-2,3,-64,-64,,,,,,"
714,删,5220,106,14,"106,-64,0,-4,-8,-3,0,-64,0,3,-10,3,-1,-64,0,-6,-4,-3,0,-1,-5,-64,0,-8,-7,-8,-10,-4,-8,0,-11,-1,-9,-64,0,0,-5,3,-1,5,-5,-64,0,1,-7,1,-11,4,-9,7,-12,7,-7,-64,0,-9,7,-8,1,-4,5,-1,1,-1,6,-64,0,-4,4,-4,13,-64,0,-7,8,-4,13,-2,9,-64,0,0,8,0,4,3,6,6,2,7,7,-64,0,3,6,3,14,-64,0,0,9,3,14,6,8,-64,-64,,,,,,"
715,羴,7FB4,74,12,"74,-64,0,-6,-17,5,-17,-64,0,-3,-17,0,-13,2,-17,-64,0,0,-13,0,-3,-64,0,-5,-11,0,-7,4,-12,-64,0,-7,11,-5,-3,5,-3,-64,0,5,-3,9,5,-64,0,0,-3,-6,3,-64,0,0,-3,7,2,-64,0,-2,4,-2,11,2,12,4,10,4,4,-64,0,-2,6,4,6,-64,-64,,,,,,"
