id,char,unicode,n_points,n_strokes,stroke
627,衣,8863,32,3,"32,-64,0,-6,-3,2,-12,11,-5,-64,0,-7,6,0,-2,-1,7,6,12,6,8,-64,0,0,7,5,4,4,-4,13,2,-64,-64,,,,,,"
628,卒,5352,64,9,"64,-64,0,-7,-5,1,-13,10,-6,-64,0,-8,1,-2,-4,-1,10,10,14,-64,0,6,12,6,-4,12,-1,-64,0,-1,-5,6,-1,-64,0,-2,1,7,5,-64,0,-1,6,5,9,-64,0,5,-4,-2,1,-64,0,6,-1,-1,6,-64,0,7,5,1,10,-64,-64,,,,,,"
629,裘,88D8,82,12,"82,-64,0,1,-15,1,-12,-4,-6,-64,0,1,-12,9,-8,-64,0,-1,-5,-2,5,-3,12,-64,0,6,-5,6,5,3,9,-2,8,-64,0,-1,-3,-6,2,-64,0,-3,3,-6,7,-64,0,-2,8,-7,12,-64,0,2,9,3,12,-64,0,5,6,8,11,-64,0,6,4,11,6,-64,0,6,-2,11,2,-64,0,6,-4,12,-2,-64,-64,,,,,,"
630,老,8001,56,7,"56,-64,0,0,-11,-2,-8,0,-5,1,-8,0,-11,-64,0,0,-5,0,-2,-5,3,-64,0,3,-12,-4,-10,-5,-5,-64,0,1,-2,4,2,5,11,-64,0,-2,0,-1,2,-64,0,-1,-2,0,1,-64,0,-2,3,-3,10,-64,-64,,,,,,"
631,耋,800B,70,8,"70,-64,0,-2,-16,2,-11,0,-6,-2,-11,2,-16,-64,0,0,-6,0,4,-64,0,-3,0,0,4,3,0,-64,0,7,-16,7,-4,10,-1,7,1,7,7,-64,0,4,-14,6,-11,11,-15,-64,0,4,-9,7,-8,11,-12,-64,0,2,-4,5,-2,4,0,-64,0,2,-2,7,-4,-64,-64,,,,,,"
632,考,8003,72,10,"72,-64,0,0,-13,1,-3,-6,1,-64,0,1,-3,8,1,-64,0,-4,0,-5,12,-64,0,8,1,7,11,-64,0,-2,3,2,2,-64,0,0,3,0,12,3,15,-64,0,0,7,2,10,-64,0,-3,-13,0,-9,5,-12,-64,0,-2,-8,1,-5,4,-9,-64,0,-2,-3,1,-5,4,-4,-64,-64,,,,,,"
633,孝,5B5D,50,5,"50,-64,0,0,-13,1,-3,-3,-1,-3,1,3,2,4,-1,1,-4,-64,0,-3,-11,0,-9,4,-13,-64,0,-4,-6,1,-5,5,-9,-64,0,0,1,1,9,0,14,-64,0,-3,4,0,7,6,2,-64,-64,,,,,,"
634,尸,5C38,32,2,"32,-64,0,3,-18,4,-11,8,-5,6,-3,2,-3,-3,-7,-5,-4,-3,-1,0,0,0,6,-64,0,3,-12,-2,-11,-7,-8,-64,-64,,,,,,"
635,尾,5C3E,38,5,"38,-64,0,1,-13,-6,-2,-64,0,0,-10,2,2,-6,15,-64,0,1,3,7,13,-64,0,1,10,3,5,8,7,-64,0,2,13,4,7,9,10,-64,-64,,,,,,"
636,舟,821F,42,6,"42,-64,0,-6,-12,-4,3,2,10,-64,0,1,-14,2,0,10,5,-64,0,-5,-8,1,-11,-64,0,-5,-5,2,-8,-64,0,-3,5,3,1,-64,0,-1,7,5,2,-64,-64,,,,,,"
637,chen,,26,4,"26,-64,0,2,-12,-3,-4,-64,0,4,-3,-2,2,-64,0,2,3,0,6,-64,0,4,7,-2,14,-64,-64,,,,,,"
638,朕,6715,68,10,"68,-64,0,-5,-15,-4,9,-64,0,-9,1,-5,8,-64,0,-11,11,-5,2,-64,0,-3,1,4,10,-64,0,-1,-2,0,2,-3,9,-64,0,-1,-16,3,-2,8,1,-64,0,3,-16,7,-4,11,-2,-64,0,0,-13,4,-14,-64,0,2,-3,6,-6,-64,0,4,-1,7,-4,-64,-64,,,,,,"
639,般,822C,58,8,"58,-64,0,-2,-12,3,-2,5,6,2,15,-64,0,5,-9,9,1,-64,0,1,-5,6,-6,-64,0,4,0,8,-1,-64,0,-2,-6,-7,0,-64,0,-3,-4,2,11,-64,0,-1,5,-3,10,-6,15,-64,0,-3,3,-4,9,-1,12,-64,-64,,,,,,"
640,服,670D,60,7,"60,-64,0,0,-14,0,-3,4,2,-2,6,-2,11,3,7,1,15,-64,0,0,-5,-1,5,-64,0,-8,2,-3,-11,-4,5,-64,0,-6,-6,-2,-4,-64,0,-7,-3,-3,-1,-64,0,2,-9,6,-6,10,3,-64,0,3,-13,6,-9,3,-3,-64,-64,,,,,,"
641,方,65B9,36,5,"36,-64,0,0,-10,0,5,-2,10,-7,16,-64,0,0,2,-7,9,-64,0,-7,-9,-6,1,-64,0,-6,-4,6,-5,-64,0,5,-10,5,0,-64,-64,,,,,,"
642,兀,5140,28,3,"28,-64,0,-6,-7,10,-9,-64,0,2,-8,2,-3,7,4,-64,0,2,-3,-3,2,-1,5,2,7,2,16,-64,-64,,,,,,"
643,兒,5152,42,5,"42,-64,0,-4,-11,-3,-4,1,-2,5,-4,5,-12,-64,0,-2,-9,-4,-7,-64,0,1,-9,5,-7,-64,0,-2,5,1,-3,-64,0,1,-1,4,5,0,9,0,16,-64,-64,,,,,,"
644,允,5141,28,2,"28,-64,0,0,-13,3,-8,5,-4,-4,2,-64,0,1,-11,-1,-6,0,-2,3,1,4,5,2,8,1,15,-64,-64,,,,,,"
645,兑,5151,48,6,"48,-64,0,-2,-9,-1,-3,2,-3,4,-5,4,-10,-64,0,-1,-8,4,-8,-64,0,-3,-14,-6,-8,-64,0,3,-15,7,-7,-64,0,1,-3,3,4,1,9,1,15,-64,0,2,-1,-4,8,-64,-64,,,,,,"
646,兄,5144,40,4,"40,-64,0,-2,-13,-2,-7,5,-7,4,-14,-64,0,-2,-10,4,-11,-64,0,2,-6,3,3,-2,6,-2,10,4,5,6,15,-64,0,2,-4,0,0,0,5,-64,-64,,,,,,"
647,竸,7AF8,86,12,"86,-64,0,-5,-7,-5,-3,-2,-2,0,-7,-64,0,-5,-6,-1,-6,-64,0,-4,-12,-3,-7,-64,0,-1,-12,-3,-9,-64,0,2,-7,2,-3,6,-2,6,-8,-64,0,2,-6,6,-5,-64,0,2,-11,4,-6,-64,0,3,-9,6,-12,-64,0,-3,-2,-4,6,-2,13,-64,0,-7,1,-2,6,-64,0,4,-3,3,4,5,12,-64,0,0,1,7,4,-64,-64,,,,,,"
648,先,5148,38,5,"38,-64,0,-1,-9,2,-1,3,-13,-64,0,-1,-8,8,-11,-64,0,-5,-1,7,-2,-64,0,2,-1,4,4,0,9,1,16,-64,0,2,0,-3,7,-64,-64,,,,,,"
649,見,898B,54,5,"54,-64,0,-8,-9,-2,-7,2,-5,4,-8,9,-8,8,-13,-7,-9,-64,0,-2,-11,-2,-8,-64,0,4,-12,3,-9,-64,0,0,-5,-3,5,2,7,5,8,5,12,0,12,-2,9,0,17,-64,0,0,-4,3,7,-64,-64,,,,,,"
650,視,8996,60,7,"60,-64,0,-3,-12,4,-13,-64,0,-5,-2,-4,-8,5,-9,6,-2,-64,0,0,-9,1,0,-64,0,-10,7,-3,3,3,2,8,4,12,8,-64,0,0,2,-2,7,0,10,4,8,3,2,-64,0,-9,7,-1,8,-64,0,4,8,11,7,-64,-64,,,,,,"
651,觀,89C0,110,12,"110,-64,0,-8,-10,-4,-16,0,-12,0,-6,-64,0,0,-12,1,-16,6,-12,-64,0,-6,-11,-5,-9,-3,-9,-3,-12,-64,0,-5,-11,-3,-11,-64,0,1,-12,2,-9,4,-9,4,-13,-64,0,1,-11,4,-12,-64,0,-5,-6,3,-7,4,-4,-3,-2,-5,1,0,7,-3,11,-4,14,-9,15,-64,0,-4,2,5,0,-64,0,1,-5,5,0,9,8,9,13,-64,0,0,1,4,5,3,10,2,11,-64,0,-5,11,1,12,-64,0,-4,13,0,17,-64,-64,,,,,,"
652,欠,6B20,36,3,"36,-64,0,6,-15,-4,-11,-2,-6,7,-9,-64,0,1,-13,-1,6,5,10,6,14,-2,10,-1,14,3,18,-64,0,0,-5,4,1,4,8,-64,-64,,,,,,"
653,次,6B21,58,6,"58,-64,0,8,-15,-1,-15,0,-10,5,-9,10,-11,-64,0,2,-15,4,-9,-64,0,0,-10,1,-3,3,0,-64,0,4,-9,4,-3,3,0,2,7,9,9,8,12,1,10,5,17,-64,0,6,-13,11,-13,-64,0,2,-8,2,-6,-64,-64,,,,,,"
654,yin,,108,13,"108,-64,0,-5,-1,5,-2,-64,0,-8,2,-4,6,-2,15,0,18,3,13,2,6,6,2,-64,0,-8,2,6,2,-64,0,-2,-2,-2,1,-64,0,1,-2,1,2,-64,0,-4,6,3,6,-64,0,-3,-4,-3,-12,1,-13,4,-12,4,-4,-64,0,-3,-11,4,-11,-64,0,0,-10,0,-5,-1,-4,-64,0,-2,-7,0,-9,3,-7,-64,0,0,-6,1,-4,-64,0,1,-14,4,-16,10,-12,11,-7,6,0,-64,0,11,-5,15,1,14,13,-64,-64,,,,,,"
655,huo,,80,10,"80,-64,0,5,-14,-1,-13,-1,-9,3,-9,6,-10,-64,0,2,-14,2,-10,-64,0,0,-8,-1,2,5,4,-64,0,0,-7,3,-2,3,2,5,8,-2,5,2,13,-64,0,5,-17,6,-12,-64,0,6,-15,13,-9,-64,0,12,-13,12,-6,-64,0,12,-9,6,-5,-64,0,5,-8,6,-1,-64,0,6,-3,11,2,11,4,-64,-64,,,,,,"
656,頁,9801,72,7,"72,-64,0,-2,-6,9,-6,11,-11,5,-9,6,-13,0,-13,-3,-10,-2,-6,-64,0,0,-15,2,-13,-64,0,3,-15,3,-14,-64,0,6,-16,4,-13,-64,0,1,-7,1,-10,4,-10,4,-7,-64,0,5,-5,6,4,-2,6,-1,12,6,7,8,10,6,14,-64,0,4,-5,1,0,0,5,-64,-64,,,,,,"
657,面,9762,48,4,"48,-64,0,-8,8,-2,-8,13,-14,9,1,6,3,-7,8,-7,8,-64,0,-3,3,0,-5,9,-9,7,-5,3,0,-3,2,-64,0,1,-5,0,-1,2,0,-64,0,2,-5,5,-6,6,-3,-64,-64,,,,,,"
658,首,9996,58,5,"58,-64,0,-3,-11,10,-6,14,4,5,5,1,4,-4,-4,3,-2,-2,-11,-64,0,0,-17,2,-12,3,-9,-64,0,5,-15,7,-11,6,-8,-64,0,10,-13,12,-9,11,-4,-64,0,4,-3,7,-3,7,0,5,1,2,-1,4,-3,-64,-64,,,,,,"
659,彡,5F61,26,4,"26,-64,0,0,-16,12,-5,-64,0,-2,-10,12,1,-64,0,-3,-3,11,6,-64,0,-4,4,11,13,-64,-64,,,,,,"
660,文,6587,48,6,"48,-64,0,-5,-6,3,-13,2,-17,-64,0,2,-14,14,-7,-64,0,0,-9,5,2,8,9,8,18,-64,0,8,-11,4,0,-1,5,-3,16,-64,0,3,-10,6,-6,-64,0,6,-12,3,-4,-64,-64,,,,,,"
661,后,540E,90,12,"90,-64,0,-3,-15,-9,-10,-64,0,2,-13,-10,-7,-9,-1,-64,0,-6,-12,-3,-7,-4,-1,-7,4,-4,11,-64,0,-12,-1,1,-8,2,-14,-64,0,-7,-8,-5,-5,-64,0,-1,-10,1,-8,-64,0,-2,1,7,-4,-64,0,2,-7,2,3,-64,0,-1,4,0,9,7,7,6,1,-1,4,-64,0,-2,11,-2,15,-64,0,3,11,4,15,-64,0,8,4,10,7,-64,-64,,,,,,"
662,司,53F8,34,4,"34,-64,0,0,-17,10,-9,10,11,-64,0,2,-10,11,-1,-64,0,-3,-1,-2,6,2,7,6,4,4,-3,-64,0,-3,1,5,1,-64,-64,,,,,,"
663,卩,5369,28,2,"28,-64,0,2,-18,8,-2,1,2,-3,3,-3,9,8,4,7,10,4,14,-64,0,4,-12,0,-6,1,2,-64,-64,,,,,,"
664,令,4EE4,38,4,"38,-64,0,-3,-7,5,-18,14,-9,-64,0,0,-11,11,-13,-64,0,5,-8,8,3,0,8,0,11,9,7,8,11,5,15,-64,0,5,-5,2,7,-64,-64,,,,,,"
665,zhuan,,48,4,"48,-64,0,-1,-14,-5,-4,-4,0,1,4,1,8,-6,3,-4,8,-2,13,-64,0,-1,-13,-1,2,-64,0,6,-17,4,-9,4,-1,9,4,7,8,2,3,6,12,-64,0,5,-12,9,3,-64,-64,,,,,,"
666,印,5370,46,5,"46,-64,0,-3,-18,-2,-13,-4,-8,-1,-1,-64,0,-2,-14,2,-12,-64,0,-3,-9,0,-7,-64,0,1,-10,5,5,-4,8,-4,12,6,8,1,15,-64,0,2,-6,0,0,-1,7,-64,-64,,,,,,"
667,卯,536F,60,6,"60,-64,0,-7,-14,3,-16,-64,0,-1,-18,-5,-4,0,0,1,6,-7,0,-5,5,-3,10,-64,0,-2,-14,1,-9,0,-1,-64,0,4,-15,12,-15,-64,0,8,-17,11,-3,5,-1,8,5,11,1,10,7,-64,0,9,-11,6,-7,6,-2,-64,-64,,,,,,"
668,卿,537F,102,11,"102,-64,0,3,-10,0,-5,4,-2,6,-7,3,-10,-64,0,0,-5,6,-6,-64,0,-5,-15,2,-14,2,-12,-6,-12,-64,0,-1,-14,-7,-2,-3,0,-2,5,-7,2,-5,10,-64,0,-4,-9,-2,-5,-3,-1,-64,0,2,-3,1,2,-64,0,4,-2,5,2,-64,0,-2,2,8,3,-64,0,11,-15,5,-14,5,-11,12,-11,-64,0,8,-15,12,-1,8,2,7,6,12,2,9,13,-64,0,9,-9,8,-4,9,1,-64,-64,,,,,,"
669,辟,8F9F,60,7,"60,-64,0,5,-4,4,1,9,1,9,-3,5,-4,-64,0,0,-12,2,1,-4,4,-4,10,3,5,1,12,-64,0,0,-9,-2,2,-64,0,4,-15,17,-14,-64,0,7,-7,15,-7,-64,0,7,-15,10,-8,-64,0,13,-14,10,-7,10,7,-64,-64,,,,,,"
670,勹,52F9,50,5,"50,-64,0,-1,-16,1,-13,3,-17,-64,0,1,-13,0,-7,5,-10,-64,0,7,-15,9,-8,-64,0,9,-11,11,-14,-64,0,0,2,-2,-2,6,-3,10,-1,10,3,4,7,5,11,10,8,9,13,-64,-64,,,,,,"
671,旬,65EC,26,2,"26,-64,0,-3,-16,12,-14,-64,0,2,-19,10,-1,3,10,-5,4,-5,0,-3,-6,2,-4,0,3,-64,-64,,,,,,"
672,勽,52FD,32,3,"32,-64,0,5,-16,-2,-7,5,10,12,3,13,-7,5,-16,-64,0,5,-12,9,-2,5,0,7,5,-64,0,6,-8,1,-1,-64,-64,,,,,,"
673,苟,82DF,30,3,"30,-64,0,-3,-19,0,-13,4,-20,-64,0,0,-13,3,1,-5,5,-4,10,5,5,3,13,-64,0,0,-13,-4,4,-64,-64,,,,,,"
674,鬼,9B3C,46,5,"46,-64,0,1,-17,0,-11,2,-7,11,-9,12,-14,11,-18,1,-17,-64,0,0,-13,12,-13,-64,0,5,-18,6,-9,-64,0,6,-7,10,0,6,3,6,12,-64,0,7,-6,0,3,-64,-64,,,,,,"
675,鬽,9B3D,72,9,"72,-64,0,-2,-14,7,-14,7,-6,-2,-6,-2,-14,-64,0,-2,-10,7,-10,-64,0,3,-14,3,-7,-64,0,2,-6,0,4,6,7,4,12,-3,6,-1,13,-64,0,2,-5,8,0,4,5,-64,0,2,-18,3,-16,-64,0,8,-18,10,-14,-64,0,10,-11,12,-5,-64,0,8,-5,9,-3,-64,-64,,,,,,"
676,甶,7536,26,3,"26,-64,0,4,-15,4,11,-64,0,4,11,-5,-2,4,-15,13,-2,4,10,-64,0,-5,-3,12,-2,-64,-64,,,,,,"
677,畏,754F,58,7,"58,-64,0,-1,-10,-2,-2,8,-2,8,-10,-1,-9,-64,0,-2,-5,8,-5,-64,0,2,-9,3,-2,-64,0,-6,-16,-5,5,-64,0,-6,-13,-1,-12,-64,0,-5,-1,-1,1,-1,7,-64,0,-4,4,3,-1,7,3,4,7,4,15,-64,-64,,,,,,"
678,山,5C71,20,1,"20,-64,0,-9,2,12,2,11,-12,5,1,0,-11,-3,1,-7,-7,-8,1,-64,-64,,,,,,"
679,嵒,5D52,68,8,"68,-64,0,-2,-18,-3,-11,2,-9,4,-17,-64,0,-2,-16,3,-15,-64,0,-10,-7,-8,1,-4,-2,-6,-9,-64,0,-10,-4,-6,-6,-64,0,6,-8,4,-3,9,1,11,-5,-64,0,6,-6,10,-3,-64,0,0,-10,0,8,-64,0,-6,-1,-5,6,3,8,5,5,6,-2,-64,-64,,,,,,"
680,庭,5EAD,62,7,"62,-64,0,3,-17,-5,-11,-6,8,-64,0,3,-17,12,-9,12,10,-64,0,2,-10,7,-6,8,2,6,8,-2,10,-64,0,4,-8,3,-3,-3,-1,-64,0,2,-3,6,4,-64,0,-2,1,-2,5,-2,7,3,6,2,0,-64,0,-1,3,2,3,-64,-64,,,,,,"
681,廣,5EE3,62,7,"62,-64,0,4,-17,-5,-12,-6,7,-64,0,5,-17,12,-9,11,7,-64,0,0,-8,5,-12,7,-9,-64,0,5,-12,4,-1,-64,0,0,-7,0,0,8,0,8,-7,0,-6,-64,0,0,-4,8,-4,-64,0,0,7,1,4,4,-1,7,3,7,9,-64,-64,,,,,,"
682,龐,9F90,86,10,"86,-64,0,6,-19,-5,-12,-5,9,-64,0,6,-19,16,-14,-64,0,6,-15,11,-15,-64,0,6,-11,11,-12,-64,0,7,-15,8,-11,-64,0,11,-15,9,-11,-64,0,9,-11,8,-8,-64,0,3,-3,5,0,5,-2,6,-8,3,-7,0,0,7,4,2,11,0,6,-64,0,6,-8,10,-8,11,-8,12,-2,14,-1,15,-5,-64,0,6,-6,12,-5,-64,-64,,,,,,"
683,厂,5382,16,2,"16,-64,0,11,-11,-6,-10,-6,14,-64,0,3,-11,-4,4,-64,-64,,,,,,"
684,石,77F3,40,5,"40,-64,0,-3,-13,14,-12,14,14,-64,0,3,-13,13,2,-64,0,13,1,6,3,13,9,-64,0,-4,-4,-4,6,4,6,4,-4,-64,0,-4,-1,5,-1,-64,-64,,,,,,"
685,磬,78EC,74,10,"74,-64,0,-4,-10,5,-12,-64,0,-4,-10,-4,6,-64,0,-3,-15,-1,-11,-64,0,-1,-16,-1,-12,-1,-12,-64,0,2,-16,-1,-12,-64,0,2,-11,-4,-3,-64,0,5,-8,3,-4,4,1,0,7,-64,0,5,-8,6,-5,4,0,-64,0,3,3,6,7,6,12,6,13,-64,0,6,4,2,8,-64,-64,,,,,,"
686,長,9577,62,9,"62,-64,0,-6,-5,7,-5,-64,0,-2,-15,5,-15,-64,0,-2,-15,-3,-6,-64,0,1,-12,4,-12,-64,0,1,-12,1,-5,-64,0,1,-4,0,-1,-6,4,-64,0,1,-2,3,2,1,6,3,13,-64,0,-3,2,-2,6,-64,0,-4,5,-4,10,-64,-64,,,,,,"
687,勿,52FF,36,5,"36,-64,0,4,-12,1,-7,7,8,4,13,-64,0,6,7,0,11,-64,0,-1,-10,-4,-6,-64,0,-2,-2,-7,3,-64,0,0,4,-5,10,-64,-64,,,,,,"
688,昜,661C,48,7,"48,-64,0,-7,-1,9,-1,-64,0,-3,-11,-3,-5,-64,0,-3,-12,6,-12,-64,0,7,-11,6,-5,-64,0,-2,-5,5,-5,-64,0,0,-9,3,-9,-64,0,0,-1,0,8,3,13,3,13,-64,-64,,,,,,"
689,冄,5184,70,10,"70,-64,0,0,-11,-4,-4,-7,10,-64,0,-6,4,-10,8,-64,0,-5,4,-2,7,-64,0,-6,-3,-5,-1,-2,-2,-64,0,-6,-8,-2,-5,-64,0,1,-5,3,-5,5,-8,-64,0,2,-2,7,-2,-64,0,0,-10,5,-2,7,9,-64,0,5,3,1,7,-64,0,6,3,9,5,-64,-64,,,,,,"
690,而,800C,52,6,"52,-64,0,-7,-9,0,-8,9,-10,-64,0,-6,-8,-8,0,-64,0,-3,-8,-3,-1,-5,2,-5,10,-64,0,0,-8,1,-1,0,3,1,14,-64,0,4,-9,6,-3,5,7,-64,0,7,-10,10,-4,8,2,-64,-64,,,,,,"
691,豕,8C55,66,10,"66,-64,0,5,-12,0,-7,-3,0,-3,12,-64,0,-4,-8,6,-8,-64,0,-5,-6,-1,-6,-64,0,-5,-3,-2,-3,-64,0,-5,-1,-2,-1,-64,0,1,-7,8,1,-64,0,8,-1,8,3,-64,0,1,-6,-1,6,-64,0,-2,7,5,12,-64,0,5,9,5,12,-64,-64,,,,,,"
692,豰,8C70,54,8,"54,-64,0,0,-13,0,-3,-5,0,-64,0,-4,-12,0,-9,-64,0,3,-13,0,-10,-64,0,1,-3,5,0,-64,0,-5,1,-4,11,-64,0,-5,2,5,2,5,2,-64,0,5,3,5,10,-64,0,-3,9,4,9,-64,-64,,,,,,"
693,豭,8C6D,60,9,"60,-64,0,1,-16,7,-12,-64,0,7,-12,3,6,-64,0,-1,-12,11,-8,-64,0,-3,-11,-3,-4,-64,0,-3,-8,6,-6,-64,0,6,-6,9,4,5,15,-64,0,-1,0,0,-1,-1,5,-64,0,-3,3,-4,11,-64,0,-3,7,7,7,-64,-64,,,,,,"
694,豢,8C62,84,12,"84,-64,0,-5,-9,6,-12,-64,0,5,-17,6,3,2,12,-64,0,1,-14,9,-13,-64,0,-3,-1,-9,9,-64,0,-3,-1,6,-2,-64,0,-2,-8,-2,6,-64,0,-7,-2,-5,5,-64,0,-4,8,6,3,-64,0,0,-6,1,-3,1,5,1,5,-64,0,0,-7,3,-6,1,-3,-64,0,10,-3,11,3,7,11,-64,0,7,0,12,13,-64,-64,,,,,,"
695,豩,8C69,68,10,"68,-64,0,-5,-10,1,-6,-64,0,-2,-12,-1,4,-2,13,-64,0,-2,-6,-7,-1,-64,0,-5,-2,-3,6,-64,0,-8,9,-3,7,-64,0,8,-13,7,-7,2,0,-64,0,4,-10,12,-4,-64,0,5,-2,4,4,-64,0,8,-7,7,11,-64,0,3,5,2,5,7,6,-64,-64,,,,,,"
696,彘,5F58,70,8,"70,-64,0,1,-14,10,-11,-64,0,4,-18,4,-12,-5,-7,-64,0,3,-11,0,-2,1,4,-64,0,-4,-4,-6,-1,-3,1,-64,0,-6,-1,7,-3,10,-4,12,-1,-64,0,3,-18,6,-11,5,5,5,8,0,12,0,13,-64,0,-5,7,5,5,-64,0,7,-3,9,-2,11,-4,-64,-64,,,,,,"
697,豚,8C5A,86,11,"86,-64,0,0,-16,0,-10,-64,0,0,-17,5,-16,5,-11,-64,0,1,-11,5,-11,-64,0,1,-10,-2,1,-3,9,1,11,7,6,4,-6,9,-2,10,-5,4,-11,-64,0,2,-3,-1,5,-1,4,-64,0,2,-3,3,6,-64,0,1,1,3,3,-64,0,-6,-9,-1,-5,-64,0,-9,3,-4,7,-64,0,5,8,4,15,-64,0,5,9,7,13,-64,-64,,,,,,"
698,豸,8C78,42,6,"42,-64,0,-5,-13,7,-14,7,-8,-64,0,-4,-7,7,-8,-64,0,1,-13,1,-9,-64,0,4,-7,5,6,0,14,-64,0,4,-4,-2,1,-64,0,4,3,-2,7,-64,-64,,,,,,"
699,si,,88,11,"88,-64,0,0,-18,0,-11,-64,0,1,-18,4,-16,4,-12,4,-12,-64,0,1,-11,3,-11,-64,0,1,-13,3,-13,-64,0,4,-11,9,-6,10,-1,3,-2,3,-3,-64,0,4,-6,3,-3,5,0,4,5,7,10,3,15,-64,0,2,12,6,11,-64,0,6,11,6,13,-64,0,-1,-10,-2,-6,-8,-7,-64,0,-3,-5,-1,8,-64,0,-6,10,5,7,-64,-64,,,,,,"
700,易,6613,38,5,"38,-64,0,4,-17,-6,-6,-4,3,5,14,-64,0,-7,-7,-11,0,-4,5,-64,0,3,-13,10,-6,-64,0,1,-4,7,1,-64,0,2,4,7,8,-64,-64,,,,,,"
701,象,8C61,80,6,"80,-64,0,9,-13,12,-13,12,-16,4,-16,-5,-14,-6,-10,-3,-8,1,-10,5,-10,7,-13,7,-13,-64,0,-1,-15,-3,-12,0,-9,-1,-4,-4,1,-1,9,5,13,-64,0,1,-14,2,-12,0,-9,2,-6,9,-4,-64,0,2,-5,5,-2,4,3,0,8,-64,0,0,8,10,9,9,9,-64,0,5,11,3,12,3,16,-64,-64,,,,,,"
702,馬,99AC,102,12,"102,-64,0,-7,-14,0,-15,3,-14,7,-15,8,-16,8,-12,1,-10,-3,-10,-7,-14,-64,0,0,-16,0,-10,1,-6,0,-1,3,7,-64,0,3,-14,3,-10,4,-7,4,-1,7,7,1,15,-64,0,0,13,4,11,-64,0,4,11,4,15,-64,0,-6,5,-6,10,-64,0,-6,8,6,7,-64,0,-6,-8,-6,-4,-64,0,-6,-5,8,-6,-64,0,4,-9,6,-9,-64,0,5,-7,7,-7,-64,0,5,-3,8,-4,-64,-64,,,,,,"
703,驪,9A6A,122,20,"122,-64,0,-3,-13,-8,-6,-64,0,-5,-10,-4,11,-64,0,-7,-6,-5,-4,-64,0,-3,-7,-4,-4,-64,0,-5,3,-9,9,-64,0,-4,3,-1,6,-64,0,-1,-7,-2,1,-64,0,0,-7,0,5,-64,0,2,-13,3,-7,-64,0,2,-12,13,-13,-64,0,13,-13,4,-8,-64,0,4,-13,5,-10,-64,0,8,-13,9,-11,-64,0,6,-8,8,12,-64,0,6,-6,2,-1,-64,0,7,-7,9,-7,-64,0,8,-5,10,-4,-64,0,7,0,6,2,-64,0,7,5,3,8,-64,0,7,5,11,8,-64,-64,,,,,,"
704,駁,99C1,88,13,"88,-64,0,-7,-12,-2,-7,-64,0,-2,-13,-4,-5,-64,0,-5,0,2,9,-64,0,-1,-1,-6,9,-64,0,0,-6,2,-12,8,-14,-64,0,9,-13,5,-8,0,-5,-64,0,2,-10,4,-9,-64,0,4,-12,6,-10,-64,0,6,-7,8,2,7,12,-64,0,6,-3,3,1,3,1,-64,0,7,-5,11,-2,-64,0,6,3,4,7,-64,0,8,2,11,7,-64,-64,,,,,,"
705,騽,9A3D,146,22,"146,-64,0,-7,-12,-5,-6,-5,1,-64,0,-8,-8,-6,-6,-64,0,-7,-4,-8,-4,-6,-2,-64,0,-3,-12,-1,-7,-1,1,-64,0,-3,-8,-2,-7,-64,0,-3,-4,-1,-3,-64,0,-1,-13,3,-17,9,-16,8,-16,-64,0,-1,-13,5,-13,9,-16,-64,0,1,-15,4,-14,-64,0,5,-17,5,-14,-64,0,5,-12,1,-5,-64,0,5,-11,6,12,-64,0,5,-11,8,-9,-64,0,5,-7,9,-6,-64,0,5,-1,2,4,-64,0,6,4,2,9,-64,0,5,4,10,7,-64,0,-7,6,-2,3,-64,0,-1,3,0,7,-64,0,-6,9,0,7,-64,0,-7,7,-7,9,-64,0,-3,4,-3,7,-64,-64,,,,,,"
706,驅,9A45,90,13,"90,-64,0,-5,-16,-2,-16,0,-14,-64,0,-2,-15,-6,-10,-64,0,-6,-9,-3,-8,-64,0,-3,-9,1,-13,-64,0,-3,-13,-2,-11,-64,0,-1,-10,0,-6,-3,-2,-64,0,0,-6,6,-5,-64,0,0,-5,5,-2,-64,0,8,-6,3,1,-64,0,9,-4,14,1,-64,0,11,-1,7,5,6,12,-64,0,7,7,10,10,10,15,-64,0,10,5,10,8,7,11,-64,-64,,,,,,"
707,馽,99BD,120,14,"120,-64,0,-6,-11,-6,-7,-10,-4,-64,0,-6,-8,-3,-4,-64,0,-6,-6,-6,-1,-8,1,-6,7,-5,12,-64,0,-6,-3,-3,1,-5,6,-64,0,-4,1,-7,3,-64,0,-8,7,-6,9,-64,0,-2,5,-5,9,-64,0,0,-16,1,-5,3,1,1,5,1,14,-64,0,0,-4,-3,-1,-64,0,2,-2,-2,0,-64,0,1,-8,7,-3,6,-1,10,0,10,3,12,8,-64,0,8,-3,9,-2,7,2,8,3,-64,0,-2,-13,3,-13,6,-9,6,-10,-64,0,-3,-12,1,-9,5,-8,-64,-64,,,,,,"
